Act,Section,Description,Document Requirements,Conditions
"Companies Act, 2013",Section 3,Formation of Company,"MOA, AOA, Directors' details",Company should have minimum 2 directors
"Companies Act, 2013",Section 4,Memorandum of Association,Draft MOA,MOA should state the company objectives
"Companies Act, 2013",Section 7,Incorporation of Company,"Application form, Fees",Fee submission within 30 days
"Companies Act, 2013",Section 12,Registered Office of Company,Proof of office address,Registered office should be operational within 30 days
"Companies Act, 2013",Section 139,Appointment of Auditors,"Board resolution, Auditor's consent",Auditor should be appointed within 30 days of incorporation
"Income Tax Act, 1961",Section 44AD,Presumptive Taxation Scheme,"Income details, Tax returns",Applicable to small businesses with turnover less than 2 crore
"Income Tax Act, 1961",Section 80-IAC,Deductions for Startups,"Startup certificate, Income details","Startups incorporated after April 1, 2016"
"Income Tax Act, 1961",Section 115BA,Tax on Income of Domestic Companies,"Financial statements, Tax returns",Domestic companies with turnover less than 400 crore
"GST Act, 2017",Section 22,Registration,"GST application form, PAN",Business turnover more than 20 lakhs
"GST Act, 2017",Section 24,Compulsory Registration,"Business details, PAN",Mandatory for specific businesses
"GST Act, 2017",Section 39,Furnishing of Returns,GST returns,Monthly/quarterly returns based on turnover
Shops and Establishments Act,Section 6,Registration of Establishments,"Application form, Fee",Applicable to all commercial establishments
Shops and Establishments Act,Section 10,Working Hours,"Attendance register, Timesheets",Adhere to state-specific working hours
Shops and Establishments Act,Section 18,Leave with Pay,Leave records,Leave policy adherence
"Patents Act, 1970",Section 3,What are not inventions,Patent application,Non-patentable inventions
"Patents Act, 1970",Section 3,What are not inventions,Prior art details,Details of prior art
"Trademarks Act, 1999",Section 18,Application for registration,Trademark application form,Trademark should be distinct
"Trademarks Act, 1999",Section 18,Application for registration,Trademark class details,Classification based on NICE classification
"IT Act, 2000",Section 43,Penalty for damage to computer system,"Evidence of damage, Complaint",Intentional damage to computer resources
"IT Act, 2000",Section 66,Computer-related offenses,"Complaint, Evidence",Cybercrimes
"IT Act, 2000",Section 79,Intermediary liability,Compliance statement,Intermediary guidelines compliance
"Indian Contract Act, 1872",Section 10,What agreements are contracts,Written agreement,"Mutual consent, Lawful consideration"
"Indian Contract Act, 1872",Section 11,Who are competent to contract,"Age proof, Mental capacity proof",Legal capacity to contract
"Indian Contract Act, 1872",Section 23,"What considerations and objects are lawful, and what not","Legal purpose, Consideration proof",Lawful consideration and object
"Companies Act, 2013",Section 3,Formation of Company,"MOA, AOA, Directors' details",Company should have minimum 2 directors
"Companies Act, 2013",Section 4,Memorandum of Association,Draft MOA,MOA should state the company objectives
"Companies Act, 2013",Section 7,Incorporation of Company,"Application form, Fees",Fee submission within 30 days
"Companies Act, 2013",Section 12,Registered Office of Company,Proof of office address,Registered office should be operational within 30 days
"Companies Act, 2013",Section 139,Appointment of Auditors,"Board resolution, Auditor's consent",Auditor should be appointed within 30 days of incorporation
"Income Tax Act, 1961",Section 44AD,Presumptive Taxation Scheme,"Income details, Tax returns",Applicable to small businesses with turnover less than 2 crore
"Income Tax Act, 1961",Section 80-IAC,Deductions for Startups,"Startup certificate, Income details","Startups incorporated after April 1, 2016"
"Income Tax Act, 1961",Section 115BA,Tax on Income of Domestic Companies,"Financial statements, Tax returns",Domestic companies with turnover less than 400 crore
"GST Act, 2017",Section 22,Registration,"GST application form, PAN",Business turnover more than 20 lakhs
"GST Act, 2017",Section 24,Compulsory Registration,"Business details, PAN",Mandatory for specific businesses
"GST Act, 2017",Section 39,Furnishing of Returns,GST returns,Monthly/quarterly returns based on turnover
Shops and Establishments Act,Section 6,Registration of Establishments,"Application form, Fee",Applicable to all commercial establishments
Shops and Establishments Act,Section 10,Working Hours,"Attendance register, Timesheets",Adhere to state-specific working hours
Shops and Establishments Act,Section 18,Leave with Pay,Leave records,Leave policy adherence
"Patents Act, 1970",Section 3,What are not inventions,Patent application,Non-patentable inventions
"Patents Act, 1970",Section 3,What are not inventions,Prior art details,Details of prior art
"Trademarks Act, 1999",Section 18,Application for registration,Trademark application form,Trademark should be distinct
"Trademarks Act, 1999",Section 18,Application for registration,Trademark class details,Classification based on NICE classification
"IT Act, 2000",Section 43,Penalty for damage to computer system,"Evidence of damage, Complaint",Intentional damage to computer resources
"IT Act, 2000",Section 66,Computer-related offenses,"Complaint, Evidence",Cybercrimes
"IT Act, 2000",Section 79,Intermediary liability,Compliance statement,Intermediary guidelines compliance
"Indian Contract Act, 1872",Section 10,What agreements are contracts,Written agreement,"Mutual consent, Lawful consideration"
"Indian Contract Act, 1872",Section 11,Who are competent to contract,"Age proof, Mental capacity proof",Legal capacity to contract
"Indian Contract Act, 1872",Section 23,"What considerations and objects are lawful, and what not","Legal purpose, Consideration proof",Lawful consideration and object
"Companies Act, 2013",Section 3,Formation of Company,"MOA, AOA, Directors' details",Company should have minimum 2 directors
"Companies Act, 2013",Section 4,Memorandum of Association,Draft MOA,MOA should state the company objectives
"Companies Act, 2013",Section 7,Incorporation of Company,"Application form, Fees",Fee submission within 30 days
"Companies Act, 2013",Section 12,Registered Office of Company,Proof of office address,Registered office should be operational within 30 days
"Companies Act, 2013",Section 139,Appointment of Auditors,"Board resolution, Auditor's consent",Auditor should be appointed within 30 days of incorporation
"Income Tax Act, 1961",Section 44AD,Presumptive Taxation Scheme,"Income details, Tax returns",Applicable to small businesses with turnover less than 2 crore
"Income Tax Act, 1961",Section 80-IAC,Deductions for Startups,"Startup certificate, Income details","Startups incorporated after April 1, 2016"
"Income Tax Act, 1961",Section 115BA,Tax on Income of Domestic Companies,"Financial statements, Tax returns",Domestic companies with turnover less than 400 crore
"GST Act, 2017",Section 22,Registration,"GST application form, PAN",Business turnover more than 20 lakhs
"GST Act, 2017",Section 24,Compulsory Registration,"Business details, PAN",Mandatory for specific businesses
"GST Act, 2017",Section 39,Furnishing of Returns,GST returns,Monthly/quarterly returns based on turnover
Shops and Establishments Act,Section 6,Registration of Establishments,"Application form, Fee",Applicable to all commercial establishments
Shops and Establishments Act,Section 10,Working Hours,"Attendance register, Timesheets",Adhere to state-specific working hours
Shops and Establishments Act,Section 18,Leave with Pay,Leave records,Leave policy adherence
"Patents Act, 1970",Section 3,What are not inventions,Patent application,Non-patentable inventions
"Patents Act, 1970",Section 3,What are not inventions,Prior art details,Details of prior art
"Trademarks Act, 1999",Section 18,Application for registration,Trademark application form,Trademark should be distinct
"Trademarks Act, 1999",Section 18,Application for registration,Trademark class details,Classification based on NICE classification
"IT Act, 2000",Section 43,Penalty for damage to computer system,"Evidence of damage, Complaint",Intentional damage to computer resources
"IT Act, 2000",Section 66,Computer-related offenses,"Complaint, Evidence",Cybercrimes
"IT Act, 2000",Section 79,Intermediary liability,Compliance statement,Intermediary guidelines compliance
"Indian Contract Act, 1872",Section 10,What agreements are contracts,Written agreement,"Mutual consent, Lawful consideration"
"Indian Contract Act, 1872",Section 11,Who are competent to contract,"Age proof, Mental capacity proof",Legal capacity to contract
"Indian Contract Act, 1872",Section 23,"What considerations and objects are lawful, and what not","Legal purpose, Consideration proof",Lawful consideration and object
"Companies Act, 2013",Section 3,Formation of Company,"MOA, AOA, Directors' details",Company should have minimum 2 directors
"Companies Act, 2013",Section 4,Memorandum of Association,Draft MOA,MOA should state the company objectives
"Companies Act, 2013",Section 7,Incorporation of Company,"Application form, Fees",Fee submission within 30 days
"Companies Act, 2013",Section 12,Registered Office of Company,Proof of office address,Registered office should be operational within 30 days
"Companies Act, 2013",Section 139,Appointment of Auditors,"Board resolution, Auditor's consent",Auditor should be appointed within 30 days of incorporation
"Income Tax Act, 1961",Section 44AD,Presumptive Taxation Scheme,"Income details, Tax returns",Applicable to small businesses with turnover less than 2 crore
"Income Tax Act, 1961",Section 80-IAC,Deductions for Startups,"Startup certificate, Income details","Startups incorporated after April 1, 2016"
"Income Tax Act, 1961",Section 115BA,Tax on Income of Domestic Companies,"Financial statements, Tax returns",Domestic companies with turnover less than 400 crore
"GST Act, 2017",Section 22,Registration,"GST application form, PAN",Business turnover more than 20 lakhs
"GST Act, 2017",Section 24,Compulsory Registration,"Business details, PAN",Mandatory for specific businesses
"GST Act, 2017",Section 39,Furnishing of Returns,GST returns,Monthly/quarterly returns based on turnover
Shops and Establishments Act,Section 6,Registration of Establishments,"Application form, Fee",Applicable to all commercial establishments
Shops and Establishments Act,Section 10,Working Hours,"Attendance register, Timesheets",Adhere to state-specific working hours
Shops and Establishments Act,Section 18,Leave with Pay,Leave records,Leave policy adherence
"Patents Act, 1970",Section 3,What are not inventions,Patent application,Non-patentable inventions
"Patents Act, 1970",Section 3,What are not inventions,Prior art details,Details of prior art
"Trademarks Act, 1999",Section 18,Application for registration,Trademark application form,Trademark should be distinct
"Trademarks Act, 1999",Section 18,Application for registration,Trademark class details,Classification based on NICE classification
"IT Act, 2000",Section 43,Penalty for damage to computer system,"Evidence of damage, Complaint",Intentional damage to computer resources
"IT Act, 2000",Section 66,Computer-related offenses,"Complaint, Evidence",Cybercrimes
"IT Act, 2000",Section 79,Intermediary liability,Compliance statement,Intermediary guidelines compliance
"Indian Contract Act, 1872",Section 10,What agreements are contracts,Written agreement,"Mutual consent, Lawful consideration"
"Indian Contract Act, 1872",Section 11,Who are competent to contract,"Age proof, Mental capacity proof",Legal capacity to contract
"Indian Contract Act, 1872",Section 23,"What considerations and objects are lawful, and what not","Legal purpose, Consideration proof",Lawful consideration and object
"Companies Act, 2013",Section 3,Formation of Company,"MOA, AOA, Directors' details",Company should have minimum 2 directors
"Companies Act, 2013",Section 4,Memorandum of Association,Draft MOA,MOA should state the company objectives
"Companies Act, 2013",Section 7,Incorporation of Company,"Application form, Fees",Fee submission within 30 days
"Companies Act, 2013",Section 12,Registered Office of Company,Proof of office address,Registered office should be operational within 30 days
"Companies Act, 2013",Section 139,Appointment of Auditors,"Board resolution, Auditor's consent",Auditor should be appointed within 30 days of incorporation
